data,valor
2016-12-20,1846.97
2016-12-21,1857.69
2016-12-22,1857.47
2016-12-23,1852.41
2016-12-26,1860.56
2016-12-27,1861.22
2016-12-28,1858.27
2016-12-29,1864.61
2017-01-02,1872.42
2017-01-03,1873.89
2017-01-04,1874.03
2017-01-05,1873.42
2017-01-06,1879.72
2017-01-09,1873.80
2017-01-10,1882.40
2017-01-11,1883.26
2017-01-12,1892.05
2017-01-13,1903.65
2017-01-16,1907.97
2017-01-17,1912.01
2017-01-18,1916.50
2017-01-19,1918.64
2017-01-20,1921.65
2017-01-23,1928.72
2017-01-24,1926.87
2017-01-26,1922.77
2017-01-27,1923.80
2017-01-30,1926.51
2017-01-31,1934.69
2017-02-01,1933.75
2017-02-02,1941.82
2017-02-03,1947.33
2017-02-06,1947.44
2017-02-07,1949.04
2017-02-08,1952.58
2017-02-09,1955.52
2017-02-10,1954.36
2017-02-13,1965.01
2017-02-14,1977.45
2017-02-15,1979.10
2017-02-16,1977.25
2017-02-17,1985.09
2017-02-20,1990.88
2017-02-21,1995.02
2017-02-22,2009.31
2017-02-23,2010.49
2017-02-24,2028.86
2017-03-01,2033.84
2017-03-02,2030.45
2017-03-03,2040.73
2017-03-06,2038.02
2017-03-07,2043.28
2017-03-08,2038.28
2017-03-09,2037.05
2017-03-10,2041.19
2017-03-13,2038.03
2017-03-14,2037.53
2017-03-15,2038.08
2017-03-16,2047.40
2017-03-17,2043.97
2017-03-20,2042.57
2017-03-21,2035.80
2017-03-22,2040.02
2017-03-23,2035.46
2017-03-24,2034.21
2017-03-27,2025.15
2017-03-28,2023.39
2017-03-29,2016.84
2017-03-30,2026.08
2017-03-31,2032.81
2017-04-03,2014.59
2017-04-04,2017.52
2017-04-05,2016.91
2017-04-06,2021.49
2017-04-07,2024.94
2017-04-10,2024.37
2017-04-11,2026.39
2017-04-12,2028.37
2017-04-13,2029.78
2017-04-17,2027.98
2017-04-18,2028.76
2017-04-19,2027.34
2017-04-20,2026.05
2017-04-24,2028.62
2017-04-25,2023.52
2017-04-26,2026.37
2017-04-27,2025.21
2017-04-28,2035.85
2017-05-02,2039.86
2017-05-03,2045.82
2017-05-04,2038.61
2017-05-05,2047.16
2017-05-08,2046.73
2017-05-09,2050.42
2017-05-10,2051.21
2017-05-11,2049.02
2017-05-12,2059.60
2017-05-15,2067.62
2017-05-16,2072.81
2017-05-17,2072.24
2017-05-18,2009.93
2017-05-19,2034.79
2017-05-22,2027.80
2017-05-23,2032.60
2017-05-24,2041.60
2017-05-25,2041.56
2017-05-26,2054.00
2017-05-29,2056.98
2017-05-30,2055.80
2017-05-31,2056.75
2017-06-01,2068.53
2017-06-02,2077.36
2017-06-05,2063.15
2017-06-06,2065.49
2017-06-07,2068.09
2017-06-08,2057.07
2017-06-09,2064.68
2017-06-12,2058.74
2017-06-13,2054.45
2017-06-14,2061.95
2017-06-16,2064.15
2017-06-19,2065.10
2017-06-20,2065.38
2017-06-21,2072.65
2017-06-22,2077.22
2017-06-23,2071.71
2017-06-26,2070.14
2017-06-27,2070.34
2017-06-28,2062.67
2017-06-29,2065.19
2017-06-30,2074.14
2017-07-03,2072.76
2017-07-04,2067.28
2017-07-05,2055.24
2017-07-06,2053.21
2017-07-07,2052.86
2017-07-10,2053.93
2017-07-11,2051.86
2017-07-12,2061.23
2017-07-13,2054.41
2017-07-14,2059.26
2017-07-17,2057.46
2017-07-18,2060.91
2017-07-19,2061.59
2017-07-20,2057.94
2017-07-21,2059.73
2017-07-24,2058.40
2017-07-25,2052.48
2017-07-26,2053.69
2017-07-27,2063.51
2017-07-28,2064.99
2017-07-31,2066.19
2017-08-01,2063.63
2017-08-02,2067.29
2017-08-03,2071.43
2017-08-04,2073.94
2017-08-07,2078.55
2017-08-08,2074.50
2017-08-09,2070.99
2017-08-10,2071.41
2017-08-11,2076.92
2017-08-14,2071.65
2017-08-15,2066.69
2017-08-16,2073.49
2017-08-17,2066.12
2017-08-18,2062.45
2017-08-21,2067.34
2017-08-22,2065.87
2017-08-23,2066.55
2017-08-24,2072.50
2017-08-25,2072.99
2017-08-28,2081.69
2017-08-29,2078.42
2017-08-30,2082.33
2017-08-31,2084.00
2017-09-01,2098.29
2017-09-04,2102.29
2017-09-05,2112.58
2017-09-06,2125.09
2017-09-08,2150.54
2017-09-11,2165.47
2017-09-12,2151.79
2017-09-13,2158.04
2017-09-14,2162.56
2017-09-15,2178.03
2017-09-18,2190.97
2017-09-19,2191.35
2017-09-20,2204.80
2017-09-21,2202.80
2017-09-22,2213.91
2017-09-25,2210.33
2017-09-26,2213.37
2017-09-27,2214.78
2017-09-28,2214.03
2017-09-29,2221.05
2017-10-02,2225.07
2017-10-03,2234.80
2017-10-04,2237.73
2017-10-05,2238.93
2017-10-06,2232.71
2017-10-09,2234.44
2017-10-10,2232.75
2017-10-11,2241.08
2017-10-13,2238.32
2017-10-16,2234.92
2017-10-17,2235.06
2017-10-18,2232.49
2017-10-19,2232.08
2017-10-20,2195.46
2017-10-23,2199.44
2017-10-24,2202.84
2017-10-25,2209.94
2017-10-26,2211.99
2017-10-27,2215.68
2017-10-30,2222.85
2017-10-31,2226.25
2017-11-01,2221.11
2017-11-03,2209.90
2017-11-06,2212.18
2017-11-07,2210.06
2017-11-08,2212.98
2017-11-09,2215.08
2017-11-10,2207.94
2017-11-13,2209.15
2017-11-14,2208.72
2017-11-16,2208.78
2017-11-17,2211.48
2017-11-21,2216.66
2017-11-22,2217.91
2017-11-23,2220.66
2017-11-24,2223.07
2017-11-27,2211.33
2017-11-28,2215.35
2017-11-29,2209.02
2017-11-30,2213.08
2017-12-01,2205.56
2017-12-04,2203.30
2017-12-05,2205.38
2017-12-06,2207.24
2017-12-07,2197.86
2017-12-08,2205.64
2017-12-11,2193.47
2017-12-12,2193.57
2017-12-13,2194.37
2017-12-14,2190.23
2017-12-15,2194.89
2017-12-18,2194.18
2017-12-19,2196.71
